ParticipantId,PictureName,Status,Condition,Placement,LabelType,ReactionTime,Response
4,PE_10,CCTIm,CCTIm,Concurrent,Implicit,24,2
4,PE_1,CCTIm,CCTIm,Concurrent,Implicit,11,5
4,PE_3,CCTIm,CCTIm,Concurrent,Implicit,7,3
4,PE_4,CCTIm,CCTIm,Concurrent,Implicit,5,1
4,PE_2,CCTIm,CCTIm,Concurrent,Implicit,5,5
4,PE_8,CCTIm,CCTIm,Concurrent,Implicit,5,2
4,PE_6,CCTIm,CCTIm,Concurrent,Implicit,6,1
4,PE_9,CCTIm,CCTIm,Concurrent,Implicit,6,4
4,PE_5,CCTIm,CCTIm,Concurrent,Implicit,7,4
4,PE_7,CCTIm,CCTIm,Concurrent,Implicit,5,1
4,PM_9,CCTM,CCTM,Concurrent,Mix,9,5
4,PM_6,CCTM,CCTM,Concurrent,Mix,6,2
4,PM_3,CCTM,CCTM,Concurrent,Mix,7,1
4,PM_1,CCTM,CCTM,Concurrent,Mix,7,2
4,PM_7,CCTM,CCTM,Concurrent,Mix,5,3
4,PM_2,CCTM,CCTM,Concurrent,Mix,6,5
4,PM_10,CCTM,CCTM,Concurrent,Mix,7,1
4,PM_8,CCTM,CCTM,Concurrent,Mix,5,1
4,PM_4,CCTM,CCTM,Concurrent,Mix,5,1
4,PM_5,CCTM,CCTM,Concurrent,Mix,5,3
4,DTF_2,PEEx,PEEx,Post-Exposure,Explicit,7,1
4,DTF_1,PEEx,PEEx,Post-Exposure,Explicit,6,5
4,DTF_3,PEEx,PEEx,Post-Exposure,Explicit,5,1
4,DTF_5,PEEx,PEEx,Post-Exposure,Explicit,5,1
4,DTF_4,PEEx,PEEx,Post-Exposure,Explicit,5,2
4,DTF_2_PostExposure,PEEx_PostExposure,PEEx,Post-Exposure,Explicit,7,1
4,DTF_1_PostExposure,PEEx_PostExposure,PEEx,Post-Exposure,Explicit,5,5
4,DTF_3_PostExposure,PEEx_PostExposure,PEEx,Post-Exposure,Explicit,5,5
4,DTF_5_PostExposure,PEEx_PostExposure,PEEx,Post-Exposure,Explicit,5,2
4,DTF_4_PostExposure,PEEx_PostExposure,PEEx,Post-Exposure,Explicit,5,1
4,DE_3,PEIm,PEIm,Post-Exposure,Implicit,9,1
4,DE_1,PEIm,PEIm,Post-Exposure,Implicit,5,1
4,DE_5,PEIm,PEIm,Post-Exposure,Implicit,5,2
4,DE_2,PEIm,PEIm,Post-Exposure,Implicit,5,1
4,DE_4,PEIm,PEIm,Post-Exposure,Implicit,5,1
4,DE_3_PostExposure,PEIm_PostExposure,PEIm,Post-Exposure,Implicit,5,5
4,DE_1_PostExposure,PEIm_PostExposure,PEIm,Post-Exposure,Implicit,5,5
4,DE_5_PostExposure,PEIm_PostExposure,PEIm,Post-Exposure,Implicit,6,2
4,DE_2_PostExposure,PEIm_PostExposure,PEIm,Post-Exposure,Implicit,7,1
4,DE_4_PostExposure,PEIm_PostExposure,PEIm,Post-Exposure,Implicit,5,2
4,DM_3,PEM,PEM,Post-Exposure,Mix,5,2
4,DM_1,PEM,PEM,Post-Exposure,Mix,7,1
4,DM_5,PEM,PEM,Post-Exposure,Mix,5,3
4,DM_4,PEM,PEM,Post-Exposure,Mix,6,1
4,DM_2,PEM,PEM,Post-Exposure,Mix,5,2
4,DM_3_PostExposure,PEM_PostExposure,PEM,Post-Exposure,Mix,5,5
4,DM_1_PostExposure,PEM_PostExposure,PEM,Post-Exposure,Mix,5,2
4,DM_5_PostExposure,PEM_PostExposure,PEM,Post-Exposure,Mix,5,2
